#파일	묶음	번호	KO
advice1	0	0	<1>보도 설치 아이콘이 ON 상태예요.\n터치펜으로 보도를 그릴 수 있어요!
advice1	0	1	<1>대기줄 설치 아이콘이 ON 상태예요.\n터치펜으로 대기줄을 그릴 수 있어요!
advice1	0	2	<1>모노레일 아이콘이 ON 상태예요.\n터치펜으로 모노레일 코스를 그릴 수 있어요!
advice1	0	3	<1>롤러코스터 아이콘이\nON 상태예요.\n터치펜으로 코스를 그릴 수 있어요!
advice1	0	4	<1>레일을 설치할 때 밑동을 터치한 뒤\n화면 오른쪽 아래 아이콘으로\n레일 높이를 자유롭게 바꿀 수 있어요!
advice1	0	5	<1>레일 아이콘이 ON 상태예요.\n레일을 그릴 수 있어요!<P>레일을 설치할 때 밑동을 터치한 뒤\n화면 오른쪽 아래 아이콘으로\n레일 높이를 자유롭게 바꿀 수 있어요!
advice1	0	6	<1>고카트 아이콘이 ON 상태예요.\n%s의 비용으로\n터치펜을 써서 코스를 그릴 수 있어요!
advice1	0	7	<1>워터슬라이더 아이콘이\nON 상태예요. %s의 비용으로\n터치펜을 써서 코스를 그릴 수 있어요!
advice1	0	8	<1>일방통행 안내 표지판을 설치해요.\n설치 장소를 정하고\n터치펜으로 터치해 봐요.
advice1	0	9	<1>다음은 진행 방향을 정해요.\n설치 장소를 한 번 더 터치해 주세요.\n방향이 바뀌어요.
advice1	0	10	<1>방향이 이걸로 딱이면\nOK 아이콘을 터치해요!
advice1	0	11	<1>안내 표지판을 설치해요. 먼저 안내할\n어트랙션, 상점 또는 정문을\n터치해 봐요.
advice1	0	12	<1>다음은 안내 표지판을 설치해요.\n표지판 설치 장소를 터치해 봐요.<P>설치한 안내 표지판은\n같은 곳을 터치하면\n방향을 바꿀 수 있으니까요!
advice1	0	13	<1>마지막으로 안내 표지판의 방향을 정해요.\n방향이 이걸로 딱이면\nOK 아이콘을 터치해요!
advice1	0	14	<1>어트랙션을 설치해요.\n장소를 정하고\nOK 아이콘을 터치해요.
advice1	0	15	<1>그럼 어트랙션 입구를 설치해 볼까요.\n장소를 정하고\nOK 아이콘을 터치해요.
advice1	0	16	<1>이제 출구만 설치하면 돼요.\n장소를 정하고\nOK 아이콘을 터치해요!
advice1	0	17	<1>상점을 설치해요.\n장소를 정하고\nOK 아이콘을 터치해요!
advice1	0	18	<1>설비를 설치해요.\n설치할 장소를\n터치펜으로 터치해요!
advice1	0	19	<1>직원을 배치해요.\n배치할 장소를\n터치펜으로 터치해요!
advice1	0	20	이 어트랙션에는\n%s의 비용이 들었어요.\n…정말 철거할 거예요?
advice1	0	21	설치한 지 1개월 이내라서\n이걸 철거해도 비용은 안 들어요!
advice1	0	22	이 상점에는\n%s의 비용이 들었어요.\n…정말 철거할 거예요?
advice1	0	23	설치한 지 1개월 이내라서\n이걸 철거해도 비용은 안 들어요!
advice1	0	24	정말 이 직원을 해고하시겠습니까?
advice1	0	25	이 화면에서는 경영에 관한 설정을 합니다.<P>선택하려면 터치펜으로\n아이콘을 터치하세요.
advice1	0	26	상점에 필요한\n원재료 발주와 재고 관리를 합니다.
advice1	0	27	테마파크의 경제 추이를\n그래프로 파악할 수 있습니다.
advice1	0	28	방문한 손님의 소감을 설문 집계한\n통계 결과를 볼 수 있습니다.
advice1	0	29	테마파크 안의 시설, 설치물, 직원을\n표 형식으로 볼 수 있는 데이터베이스입니다.
advice1	0	30	은행을 이용합니다.\n차입 신청과 상환을 합니다.
advice1	0	31	새 설비 개발,\n기존 설비 개량,\n직원 연수를 합니다.
advice1	0	32	주식을 사고팝니다.
advice1	0	33	입장료를 올리거나 내립니다.
advice1	0	34	연구 개발 성과가 보고되었습니다!\n상품 1개당\n%d개의 재고를 보관할 수 있습니다!
advice1	0	35	현재 상품 1개당\n%d개의 재고를 보관할 수 있습니다.
advice1	0	36	%s의 재고입니다.
advice1	0	37	발주 수가 정해졌으면\nOK 아이콘을 터치하세요.
advice1	0	38	<1>%s을(를) 발주했어요!\n납품 예정일은 %s! 잊지 마세요!
advice1	0	39	금액 입력 후, 차입은 "차입" 아이콘을,\n상환은 "차입금 상환" 아이콘을\n터치하세요.
advice1	0	40	차입금을 상환하려면\n이 버튼을 터치하세요.
advice1	0	41	차입하려면\n이 버튼을 터치하세요.
advice1	0	42	<1>은행에서 %s 빌려 왔어요!
advice1	0	43	<1>은행에 %s 갚고 왔어요!
advice1	0	44	이 화면에서는 새 설비 개발,\n기존 설비 개량,\n직원 연수를 합니다.<P>선택하려면 터치펜으로\n아이콘을 터치하세요.
